                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2854,                 2.3258,                 2.0894,                 1.8604,                0.34884,                0.48986,                0.40935,                0.26126,                0.33754,                0.48235,                0.38713,                0.27956,                  1.426,                 2.0918,                 1.9617,                   2.02,               0.006634,               0.006634,               0.006634
                     36,                  1.262,                 2.2467,                 2.0881,                  1.817,                0.35768,                0.37185,                0.36854,                0.22616,                0.34885,                0.36248,                0.35535,                0.23668,                 1.4978,                 2.1667,                   2.07,                 2.1192,               0.006535,               0.006535,               0.006535
                     37,                 1.2725,                 2.2463,                 2.0979,                 1.8414,                0.38866,                0.57192,                0.43187,                0.27117,                0.38253,                0.55384,                0.43525,                0.29413,                 1.5008,                 2.0404,                 1.9103,                 2.0267,               0.006436,               0.006436,               0.006436
                     38,                 1.2654,                 2.2316,                 2.0659,                 1.8354,                0.37654,                0.46597,                0.41429,                0.27522,                0.36852,                0.45656,                0.40513,                0.29154,                 1.4642,                 2.0854,                 1.9628,                 2.0338,               0.006337,               0.006337,               0.006337
                     39,                 1.2534,                 2.2209,                 2.0407,                  1.826,                0.31191,                0.50991,                0.37965,                0.24182,                0.31528,                0.49597,                0.37174,                0.26238,                  1.476,                 2.0893,                 2.0373,                 2.0655,               0.006238,               0.006238,               0.006238
                     40,                 1.2506,                 2.2079,                  2.095,                 1.8098,                0.31949,                0.54118,                 0.4122,                0.28127,                0.31375,                 0.5272,                0.39314,                 0.2837,                  1.375,                 2.1647,                 1.9811,                 1.9545,               0.006139,               0.006139,               0.006139
                     41,                 1.2603,                 2.2506,                 2.1027,                 1.8328,                0.28144,                0.42662,                0.40982,                0.27562,                0.29743,                0.44562,                0.40941,                0.29015,                 1.4233,                  2.141,                 1.9977,                 2.0202,                0.00604,                0.00604,                0.00604
                     42,                 1.2491,                 2.2079,                 2.0547,                 1.8141,                0.46614,                0.43831,                0.41799,                 0.2809,                0.47243,                0.43375,                0.40602,                0.29013,                 1.4031,                 2.1025,                 1.9551,                 1.9856,               0.005941,               0.005941,               0.005941
                     43,                 1.2549,                 2.2666,                 2.0749,                 1.7921,                 0.3939,                0.51553,                0.39916,                0.25476,                0.37342,                0.46875,                0.38847,                0.26133,                 1.4677,                 2.0545,                  1.966,                 2.0328,               0.005842,               0.005842,               0.005842
                     44,                 1.2315,                 2.2042,                 2.0643,                 1.8009,                 0.3809,                0.45596,                0.41805,                0.27286,                 0.3953,                0.45547,                 0.4031,                0.27279,                  1.378,                 2.1256,                 1.9653,                 1.9985,               0.005743,               0.005743,               0.005743
                     45,                 1.2406,                 2.1718,                 2.0142,                 1.7978,                0.32606,                0.56219,                0.43742,                0.29022,                0.31916,                0.54821,                0.42681,                0.30395,                 1.3715,                 2.0416,                 1.8887,                 1.9543,               0.005644,               0.005644,               0.005644
